,,,Ksenia's TRUE count,Roy's True count,Ksenia's != Roy's
Bg7#,Qb3#,Qb3#,FALSE,FALSE,TRUE
Qf8#,Qf8#,Qf8#,TRUE,TRUE,TRUE
Qxg2#,,garbage,FALSE,FALSE,TRUE
Qxh6#,Qxh6#,Qxh6#,TRUE,TRUE,TRUE
Rxh5#,Qg6#,Qg6#,FALSE,FALSE,TRUE
Rxf8#,Rxf8#,Rxf8#,TRUE,TRUE,TRUE
Qxh8#,Qxh8#,Qxh8#,TRUE,TRUE,TRUE
Qh7#,Qh7#,Qh7#,TRUE,TRUE,TRUE
Ra1#,Ra1#,Ra1#,TRUE,TRUE,TRUE
Qb4#,Qb4#,Qb4#,TRUE,TRUE,TRUE
Rh8#,Rh8#,Rh8#,TRUE,TRUE,TRUE
Rh1#,Rh1#,Rh1#,TRUE,TRUE,TRUE
Qe4#,Qe4#,Qe4#,TRUE,TRUE,TRUE
Qxg7#,Qxg7#,Qxg7#,TRUE,TRUE,TRUE
Qxc2#,Qxc2#,Qxc2#,TRUE,TRUE,TRUE
Qxg7#,Qxg7#,Qxg7#,TRUE,TRUE,TRUE
Rxe1#,Rxe1#,Rxe1#,TRUE,TRUE,TRUE
Qxf2#,Qxf2#,Qxf2#,TRUE,TRUE,TRUE
Qa6#,Qxa8#,Qxa8#,FALSE,FALSE,TRUE
Qxd6#,Qxd6#,Qxd6#,TRUE,TRUE,TRUE
Qxg2#,,garbage,FALSE,FALSE,TRUE
Qh7#,Qh7#,Qh7#,TRUE,TRUE,TRUE
Rh1#,Rh1#,Rh1#,TRUE,TRUE,TRUE
Qg7#,Qg7#,Qg7#,TRUE,TRUE,TRUE
Qg7#,Qg7#,Qg7#,TRUE,TRUE,TRUE
Qxf7#,Qxf7#,Qxf7#,TRUE,TRUE,TRUE
Rh7#,Rh7#,Rh7#,TRUE,TRUE,TRUE
Qxg7#,Qxg7#,Qxg7#,TRUE,TRUE,TRUE
Qxg7#,Qxg7#,Qxg7#,TRUE,TRUE,TRUE
Bf7#,Bf7#,Bf7#,TRUE,TRUE,TRUE
Qa8#,Qa8#,Qa8#,TRUE,TRUE,TRUE
Qxf1#,Qxf1#,Qxf1#,TRUE,TRUE,TRUE
Qf3#,Qf3#,Qf3#,TRUE,TRUE,TRUE
Qg7#,Qg7#,Qg7#,TRUE,TRUE,TRUE
Qxb7#,Qxb7#,Qxb7#,TRUE,TRUE,TRUE
Ra4#,Ra4#,Ra4#,TRUE,TRUE,TRUE
Qb2#,Qb2#,Qb2#,TRUE,TRUE,TRUE
Qe8#,Qe8#,Qe8#,TRUE,TRUE,TRUE
Qb2#,Qa1#,Qa1#,FALSE,FALSE,TRUE
Qc8#,Qc8#,Qc8#,TRUE,TRUE,TRUE
Qxh7#,Qxh7#,Qxh7#,TRUE,TRUE,TRUE
Qbe4#,Qd7#,Qd7#,FALSE,FALSE,TRUE
Rh6#,Rh6#,Rh6#,TRUE,TRUE,TRUE
Rh3#,Rh3#,Rh3#,TRUE,TRUE,TRUE
Rf2#,Rf2#,Rf2#,TRUE,TRUE,TRUE
Ra5#,Bb2#,Bb2#,FALSE,FALSE,TRUE
Qd8#,Qd8#,Qd8#,TRUE,TRUE,TRUE
Qxa2#,Qxa2#,Qxa2#,TRUE,TRUE,TRUE
Ra1#,Ra1#,Ra1#,TRUE,TRUE,TRUE
Rg7#,Rg7#,Rg7#,TRUE,TRUE,TRUE
Qg7#,Qg7#,Qg7#,TRUE,TRUE,TRUE
Rxh5#,Rxh5#,Rxh5#,TRUE,TRUE,TRUE
Qxg7#,Qxg7#,Qxg7#,TRUE,TRUE,TRUE
Qh1#,Qh1#,Qh1#,TRUE,TRUE,TRUE
Qxe7#,Qxe7#,Qxe7#,TRUE,TRUE,TRUE
Rh8#,,garbage,FALSE,FALSE,TRUE
Qxf8#,Qxf8#,Qxf8#,TRUE,TRUE,TRUE
Qxa7#,,garbage,FALSE,FALSE,TRUE
Rh3#,Rh3#,Rh3#,TRUE,TRUE,TRUE
Rh8#,Rh8#,Rh8#,TRUE,TRUE,TRUE
Qxe2#,Qxe2#,Qxe2#,TRUE,TRUE,TRUE
Qf7#,Qf7#,Qf7#,TRUE,TRUE,TRUE
Qg2#,Qg2#,Qg2#,TRUE,TRUE,TRUE
Qxh2#,,garbage,FALSE,FALSE,TRUE
Bxd4#,Qd2#,Qd2#,FALSE,FALSE,TRUE
Qxh7#,Qxh7#,Qxh7#,TRUE,TRUE,TRUE
Nh6#,Nh6#,Nh6#,TRUE,TRUE,TRUE
Rg8#,Rg8#,Rg8#,TRUE,TRUE,TRUE
Qh8#,Qh8#,Qh8#,TRUE,TRUE,TRUE
Qxh7#,Qxh7#,Qxh7#,TRUE,TRUE,TRUE
Qg7#,Qg6#,Qg6#,FALSE,FALSE,TRUE
Qxb7#,,garbage,FALSE,FALSE,TRUE
Qh5#,Qf8#,Qf8#,FALSE,FALSE,TRUE
Qxa8#,Qxa8#,Qxa8#,TRUE,TRUE,TRUE
Qg2#,Qg2#,Qg2#,TRUE,TRUE,TRUE
Rf8#,Qf8#,Qf8#,FALSE,FALSE,TRUE
Be5#,Be5#,Be5#,TRUE,TRUE,TRUE
Qf4#,Qf4#,Qf4#,TRUE,TRUE,TRUE
Qxh2#,,garbage,FALSE,FALSE,TRUE
Qh1#,Qh1#,Qh1#,TRUE,TRUE,TRUE
Ra8#,Rb1#,Rb1#,FALSE,FALSE,TRUE
Qg2#,Qh1#,Qh1#,FALSE,FALSE,TRUE
Rc5#,Re4#,Re4#,FALSE,FALSE,TRUE
Ne7#,Rh7#,Rh7#,FALSE,FALSE,TRUE
Qg7#,Qg7#,Qg7#,TRUE,TRUE,TRUE
Qxf2#,Qxf2#,Qxf2#,TRUE,TRUE,TRUE
Rh3#,Rh3#,Rh3#,TRUE,TRUE,TRUE
Qxf1#,Qxf1#,Qxf1#,TRUE,TRUE,TRUE
Qxb7#,Qxb7#,Qxb7#,TRUE,TRUE,TRUE
Qxg2#,,garbage,FALSE,FALSE,TRUE
Qxf7#,Qxf7#,Qxf7#,TRUE,TRUE,TRUE
Qg2#,Qg2#,Qg2#,TRUE,TRUE,TRUE
Qf7#,Qxg6#,Qxg6#,FALSE,FALSE,TRUE
Qxc7#,Qxc7#,Qxc7#,TRUE,TRUE,TRUE
Qxf8#,Qxf8#,Qxf8#,TRUE,TRUE,TRUE
Be7#,Qh1#,Qh1#,FALSE,FALSE,TRUE
Qxf2#,Qxf2#,Qxf2#,TRUE,TRUE,TRUE
Ba3#,Re1#,Re1#,FALSE,FALSE,TRUE
Rxb3#,Rxb3#,Rxb3#,TRUE,TRUE,TRUE
Qxf7#,Qxf7#,Qxf7#,TRUE,TRUE,TRUE
Qxd7#,Qxd7#,Qxd7#,TRUE,TRUE,TRUE
Qf7#,Qf7#,Qf7#,TRUE,TRUE,TRUE
Rg1#,Rg1#,Rg1#,TRUE,TRUE,TRUE
Nf7#,Qg7#,Qg7#,FALSE,FALSE,TRUE
Qd6#,Qd6#,Qd6#,TRUE,TRUE,TRUE
Qxh2#,,garbage,FALSE,FALSE,TRUE
Qxg2#,,garbage,FALSE,FALSE,TRUE
Qxg7#,Qxg7#,Qxg7#,TRUE,TRUE,TRUE
Re3#,Rc1#,Rc1#,FALSE,FALSE,TRUE
Qxd1#,Qxd1#,Qxd1#,TRUE,TRUE,TRUE
Rcxf3#,,garbage,FALSE,FALSE,TRUE
Rh1#,Rh1#,Rh1#,TRUE,TRUE,TRUE
Qxf2#,Qxf2#,Qxf2#,TRUE,TRUE,TRUE
Qxh6#,Qxh6#,Qxh6#,TRUE,TRUE,TRUE
Rb4#,Rb4#,Rb4#,TRUE,TRUE,TRUE
Qxc7#,Qxc7#,Qxc7#,TRUE,TRUE,TRUE
Qh1#,Qh2#,Qh2#,FALSE,FALSE,TRUE
Qxh1#,,garbage,FALSE,FALSE,TRUE
Qh3#,Qh3#,Qh3#,TRUE,TRUE,TRUE
Qe8#,Qe8#,Qe8#,TRUE,TRUE,TRUE
Rg2#,Rg2#,Rg2#,TRUE,TRUE,TRUE
Rf8#,Rf8#,Rf8#,TRUE,TRUE,TRUE
Qxh7#,Qxh7#,Qxh7#,TRUE,TRUE,TRUE
Qf7#,Qf7#,Qf7#,TRUE,TRUE,TRUE
Rh3#,Rh3#,Rh3#,TRUE,TRUE,TRUE
Qh8#,Qh8#,Qh8#,TRUE,TRUE,TRUE
Qg8#,Qg8#,Qg8#,TRUE,TRUE,TRUE
Qxe7#,Qxe7#,Qxe7#,TRUE,TRUE,TRUE
Qf7#,Qf7#,Qf7#,TRUE,TRUE,TRUE
Rf1#,Rf1#,Rf1#,TRUE,TRUE,TRUE
Qxg7#,Qxg7#,Qxg7#,TRUE,TRUE,TRUE
Qxc7#,Qxc7#,Qxc7#,TRUE,TRUE,TRUE
Qf7#,Qf7#,Qf7#,TRUE,TRUE,TRUE
Rh1#,Rh1#,Rh1#,TRUE,TRUE,TRUE
Qe2#,Qe2#,Qe2#,TRUE,TRUE,TRUE
Rh8#,Rh8#,Rh8#,TRUE,TRUE,TRUE
Qxc6#,Qxc6#,Qxc6#,TRUE,TRUE,TRUE
Qh5#,Qh5#,Qh5#,TRUE,TRUE,TRUE
Re1#,Re1#,Re1#,TRUE,TRUE,TRUE
Qh2#,Qh2#,Qh2#,TRUE,TRUE,TRUE
Qb7#,Qb7#,Qb7#,TRUE,TRUE,TRUE
Qb1#,Qb1#,Qb1#,TRUE,TRUE,TRUE
Qh4#,Qh4#,Qh4#,TRUE,TRUE,TRUE
Qxg7#,Qxg7#,Qxg7#,TRUE,TRUE,TRUE
Qh3#,Qh3#,Qh3#,TRUE,TRUE,TRUE
Rh4#,Rh4#,Rh4#,TRUE,TRUE,TRUE
Qxa7#,,garbage,FALSE,FALSE,TRUE
Ra8#,Ra8#,Ra8#,TRUE,TRUE,TRUE
Rxe8#,Rxe8#,Rxe8#,TRUE,TRUE,TRUE
Qxh7#,Qxh7#,Qxh7#,TRUE,TRUE,TRUE
Bf7#,Bf7#,Bf7#,TRUE,TRUE,TRUE
Qxf2#,Qxf2#,Qxf2#,TRUE,TRUE,TRUE
Ne6#,Rf8#,Rf8#,FALSE,FALSE,TRUE
Ng3#,Ng3#,Ng3#,TRUE,TRUE,TRUE
Rg2#,Rg2#,Rg2#,TRUE,TRUE,TRUE
Qxf7#,Qxf7#,Qxf7#,TRUE,TRUE,TRUE
Qf7#,Qf7#,Qf7#,TRUE,TRUE,TRUE
Rd8#,Rd8#,Rd8#,TRUE,TRUE,TRUE
Qxe1#,Qxe1#,Qxe1#,TRUE,TRUE,TRUE
Rh3#,Rh3#,Rh3#,TRUE,TRUE,TRUE
Qb8#,Qff8#,Qff8#,FALSE,FALSE,TRUE
Qxf2#,Qxf2#,Qxf2#,TRUE,TRUE,TRUE
Rf8#,Rf8#,Rf8#,TRUE,TRUE,TRUE
Be4#,Rf6#,Rf6#,FALSE,FALSE,TRUE
Qxg2#,,garbage,FALSE,FALSE,TRUE
Ra7#,Ra7#,Ra7#,TRUE,TRUE,TRUE
Qe2#,Qe1#,Qe1#,FALSE,FALSE,TRUE
Qg5#,Qg5#,Qg5#,TRUE,TRUE,TRUE
Qh4#,Qg5#,Qg5#,FALSE,FALSE,TRUE
Rh5#,Rh5#,Rh5#,TRUE,TRUE,TRUE
Ng3#,Ng3#,Ng3#,TRUE,TRUE,TRUE
Qxe3#,Qxe3#,Qxe3#,TRUE,TRUE,TRUE
Nc7#,Nc7#,Nc7#,TRUE,TRUE,TRUE
Re8#,Re8#,Re8#,TRUE,TRUE,TRUE
Qa8#,Qa8#,Qa8#,TRUE,TRUE,TRUE
Qxe1#,Qxe1#,Qxe1#,TRUE,TRUE,TRUE
Qxg2#,,garbage,FALSE,FALSE,TRUE
Rxe8#,Rxe8#,Rxe8#,TRUE,TRUE,TRUE
Qh7#,Qh7#,Qh7#,TRUE,TRUE,TRUE
Qh8#,Qh8#,Qh8#,TRUE,TRUE,TRUE
Qxg7#,Qxg7#,Qxg7#,TRUE,TRUE,TRUE
Qxf8#,,garbage,FALSE,FALSE,TRUE
Qxg2#,,garbage,FALSE,FALSE,TRUE
Qxd4#,,garbage,FALSE,FALSE,TRUE
Qca7#,Qca7#,Qca7#,TRUE,TRUE,TRUE
Qf4#,Qf4#,Qf4#,TRUE,TRUE,TRUE
Rf8#,Rf8#,Rf8#,TRUE,TRUE,TRUE
Qd7#,Qd7#,Qd7#,TRUE,TRUE,TRUE
Ra3#,,garbage,FALSE,FALSE,TRUE
Qf4#,Qf4#,Qf4#,TRUE,TRUE,TRUE
Ra7#,Qa7#,Qa7#,FALSE,FALSE,TRUE
Qf7#,,garbage,FALSE,FALSE,TRUE
Qe5#,Qe5#,Qe5#,TRUE,TRUE,TRUE
Qxf7#,Rh8#,Rh8#,FALSE,FALSE,TRUE
Rxd1#,,garbage,FALSE,FALSE,TRUE
Qh7#,,garbage,FALSE,FALSE,TRUE
Qxg7#,Qxg7#,Qxg7#,TRUE,TRUE,TRUE
Qh8#,Qh8#,Qh8#,TRUE,TRUE,TRUE
Qb6#,Qa2#,Qa2#,FALSE,FALSE,TRUE
Qxf7#,Qxf7#,Qxf7#,TRUE,TRUE,TRUE
Ra1#,Ra1#,Ra1#,TRUE,TRUE,TRUE
Qxg8#,Qxg8#,Qxg8#,TRUE,TRUE,TRUE
Qxg7#,Qxg7#,Qxg7#,TRUE,TRUE,TRUE
Qe7#,Qe7#,Qe7#,TRUE,TRUE,TRUE
Qh8#,Qh8#,Qh8#,TRUE,TRUE,TRUE
Qxf7#,Qxf7#,Qxf7#,TRUE,TRUE,TRUE
Qa8#,Qa8#,Qa8#,TRUE,TRUE,TRUE
Qg8#,Qh7#,Qh7#,FALSE,FALSE,TRUE
Rg1#,Rg1#,Rg1#,TRUE,TRUE,TRUE
Qxe1#,Qxe1#,Qxe1#,TRUE,TRUE,TRUE
Rh5#,Rh5#,Rh5#,TRUE,TRUE,TRUE
Ra8#,Ra8#,Ra8#,TRUE,TRUE,TRUE
Qg3#,Qg3#,Qg3#,TRUE,TRUE,TRUE
Rc8#,Rhf7#,Rhf7#,FALSE,FALSE,TRUE
Qb2#,Qb2#,Qb2#,TRUE,TRUE,TRUE
Qg1#,Qg1#,Qg1#,TRUE,TRUE,TRUE
Qh5#,Qh5#,Qh5#,TRUE,TRUE,TRUE
Qxh7#,Qxh7#,Qxh7#,TRUE,TRUE,TRUE
Ra5#,,garbage,FALSE,FALSE,TRUE
Qxd7#,Qd6#,Qd6#,FALSE,FALSE,TRUE
Qg2#,Qg2#,Qg2#,TRUE,TRUE,TRUE
Qa5#,Qa5#,Qa5#,TRUE,TRUE,TRUE
Qf5#,Qf5#,Qf5#,TRUE,TRUE,TRUE
Rc1#,Rc1#,Rc1#,TRUE,TRUE,TRUE
Rg1#,Rg1#,Rg1#,TRUE,TRUE,TRUE
Rc3#,Re4#,Re4#,FALSE,FALSE,TRUE
Nxb6#,Rd8#,Rd8#,FALSE,FALSE,TRUE
Qxg7#,Qxg7#,Qxg7#,TRUE,TRUE,TRUE
Qxh2#,,garbage,FALSE,FALSE,TRUE
Qc1#,Qc1#,Qc1#,TRUE,TRUE,TRUE
Qxg7#,Qxg7#,Qxg7#,TRUE,TRUE,TRUE
Qxg2#,,garbage,FALSE,FALSE,TRUE
Ra8#,Ra8#,Ra8#,TRUE,TRUE,TRUE
Ra3#,Ra3#,Ra3#,TRUE,TRUE,TRUE
Qxg7#,Qxg7#,Qxg7#,TRUE,TRUE,TRUE
Rxh6#,Rxh6#,Rxh6#,TRUE,TRUE,TRUE
Qxf2#,Qxf2#,Qxf2#,TRUE,TRUE,TRUE
Qxf7#,Qxf7#,Qxf7#,TRUE,TRUE,TRUE
Qh7#,Qh7#,Qh7#,TRUE,TRUE,TRUE
Qxg2#,,garbage,FALSE,FALSE,TRUE
Qg8#,Qh8#,Qh8#,FALSE,FALSE,TRUE
Qg2#,Qg2#,Qg2#,TRUE,TRUE,TRUE
Qf7#,Qf7#,Qf7#,TRUE,TRUE,TRUE
Qh5#,Qh5#,Qh5#,TRUE,TRUE,TRUE
Rag2#,Rag2#,Rag2#,TRUE,TRUE,TRUE
Qh7#,Qh1#,Qh1#,FALSE,FALSE,TRUE
Qh1#,Qh1#,Qh1#,TRUE,TRUE,TRUE
Qxc3#,Rc1#,Rc1#,FALSE,FALSE,TRUE
Bf6#,Bf6#,Rh1#,TRUE,FALSE,FALSE
Rf1#,Rf1#,Rf1#,TRUE,TRUE,TRUE
Qxg2#,,garbage,FALSE,FALSE,TRUE
Qh2#,Qh2#,Qh2#,TRUE,TRUE,TRUE
Qxh2#,,garbage,FALSE,FALSE,TRUE
Ra1#,Ra1#,Ra1#,TRUE,TRUE,TRUE
Rd4#,Qc5#,Qc5#,FALSE,FALSE,TRUE
Rh8#,Rh8#,Rh8#,TRUE,TRUE,TRUE
Qd1#,,garbage,FALSE,FALSE,TRUE
Qxb2#,Qxb2#,Qxb2#,TRUE,TRUE,TRUE
Qb7#,Qb7#,Qb7#,TRUE,TRUE,TRUE
Qxf7#,Qxf7#,Qxf7#,TRUE,TRUE,TRUE
Qh5#,Rh3#,Rh3#,FALSE,FALSE,TRUE
Qg2#,Qg2#,Qg2#,TRUE,TRUE,TRUE
Qxg7#,Qxg7#,Qxg7#,TRUE,TRUE,TRUE
Qxh7#,Qxh7#,Qxh7#,TRUE,TRUE,TRUE
Qc3#,,garbage,FALSE,FALSE,TRUE
Qh7#,Qh7#,Qh7#,TRUE,TRUE,TRUE
Bf4#,Qxh5#,Qxh5#,FALSE,FALSE,TRUE
Qe7#,Qe7#,Qe7#,TRUE,TRUE,TRUE
Rf4#,Rf4#,Rf4#,TRUE,TRUE,TRUE
Ra1#,Ra1#,Ra1#,TRUE,TRUE,TRUE
Qc3#,Qc1#,Qc1#,FALSE,FALSE,TRUE
Qf7#,Qf7#,Qf7#,TRUE,TRUE,TRUE
Qxe8#,Qxe8#,Qxe8#,TRUE,TRUE,TRUE
Qg7#,Qg7#,Qg7#,TRUE,TRUE,TRUE
Qxg7#,Qxg7#,Qxg7#,TRUE,TRUE,TRUE
Q1xd1#,Qxd1#,Qxd1#,FALSE,FALSE,TRUE
Qxf2#,Bxf2#,Bxf2#,FALSE,FALSE,TRUE
Rxh7#,Rxh7#,Rxh7#,TRUE,TRUE,TRUE
Qxg2#,,garbage,FALSE,FALSE,TRUE
R1b5#,Rc1#,Rc1#,FALSE,FALSE,TRUE
Qxg2#,,garbage,FALSE,FALSE,TRUE
Qf7#,Qf7#,Qf7#,TRUE,TRUE,TRUE
h4#,,garbage,FALSE,FALSE,TRUE
Rxd8#,Rxd8#,Rxd8#,TRUE,TRUE,TRUE
Qxe2#,Qxe2#,Qxe2#,TRUE,TRUE,TRUE
Qa7#,Qa7#,Qa7#,TRUE,TRUE,TRUE
Qxf7#,,garbage,FALSE,FALSE,TRUE
Qxg2#,,garbage,FALSE,FALSE,TRUE
Qxg7#,Qxg7#,Qxg7#,TRUE,TRUE,TRUE
Qd7#,Qd7#,Qd7#,TRUE,TRUE,TRUE
g4#,Rh3#,Rh3#,FALSE,FALSE,TRUE
Rh1#,Rh1#,Rh1#,TRUE,TRUE,TRUE
Qxg7#,Qxg7#,Qxg7#,TRUE,TRUE,TRUE
Qxf1#,Qxf1#,Qxf1#,TRUE,TRUE,TRUE
Qh1#,Qh1#,Qh1#,TRUE,TRUE,TRUE
Qh2#,Qh2#,Qh2#,TRUE,TRUE,TRUE
Ra1#,Ra1#,Ra1#,TRUE,TRUE,TRUE
Bf7#,Bf7#,Bf7#,TRUE,TRUE,TRUE
Qe5#,Qe5#,Qe5#,TRUE,TRUE,TRUE
Qxf2#,Qxf2#,Qxf2#,TRUE,TRUE,TRUE
Rb2#,Rb2#,Rb2#,TRUE,TRUE,TRUE
Rh4#,Rh4#,Rh4#,TRUE,TRUE,TRUE
Qg7#,Qg7#,Qg7#,TRUE,TRUE,TRUE
Qf6#,Qf6#,Qf6#,TRUE,TRUE,TRUE
Qc8#,Qc8#,Qc8#,TRUE,TRUE,TRUE
Qh8#,Qh8#,Qh8#,TRUE,TRUE,TRUE
Qh2#,Qh2#,Qh2#,TRUE,TRUE,TRUE
Qxg3#,Rh5#,Rh5#,FALSE,FALSE,TRUE
Qxg2#,,garbage,FALSE,FALSE,TRUE
Qb2#,,garbage,FALSE,FALSE,TRUE
Qe4#,Qd5#,Qd5#,FALSE,FALSE,TRUE
Qd7#,Qd7#,Qd7#,TRUE,TRUE,TRUE
Qcxd4#,Qg3#,Qg3#,FALSE,FALSE,TRUE
Qxf7#,Qxf7#,Qxf7#,TRUE,TRUE,TRUE
Rb8#,Rc8#,Rc8#,FALSE,FALSE,TRUE
Rxb7#,Rxb7#,Rxb7#,TRUE,TRUE,TRUE
Rxe1#,Rxe1#,Rxe1#,TRUE,TRUE,TRUE
Qxc7#,Qxc7#,Qxc7#,TRUE,TRUE,TRUE
Qd2#,,garbage,FALSE,FALSE,TRUE
Qg7#,Qg7#,Qg7#,TRUE,TRUE,TRUE
Re1#,Re1#,Re1#,TRUE,TRUE,TRUE
Qf7#,Qf7#,Qf7#,TRUE,TRUE,TRUE
Qxg2#,,garbage,FALSE,FALSE,TRUE
Qxf1#,Qxf1#,Qxf1#,TRUE,TRUE,TRUE
Qe2#,Qf1#,Qf1#,FALSE,FALSE,TRUE
Qb8#,Qb8#,Qb8#,TRUE,TRUE,TRUE
