,outputs_0,outputs_1,outputs_2,outputs_3,outputs_4,outputs_5,final_output
39,Rxd1#,Qxd1#,Qxd1#,Qxd1#,Qxd1#,Qxd1#,Rxd1#
40,Qxd8#,Qxd8#,Qxd8#,Qxd8#,Qxd8#,Qxd8#,Qxd8#
41,garbage,Qd1#,Qd1#,Qd1#,Qd1#,Qd1#,Qd1#
42,d7#,d7#,d7#,d7#,d7#,d7#,d7#
43,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#
44,garbage,garbage,garbage,garbage,garbage,garbage,garbage
45,Qxh5#,Bxg5#,Qxh5#,Qxh5#,Qxh5#,Bxg5#,Qxh5#
46,garbage,garbage,garbage,garbage,garbage,garbage,garbage
47,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#
48,Rb1#,Rb1#,Rb1#,Rb1#,Rb1#,Rb1#,Rb1#
49,garbage,h6#,h6#,h6#,garbage,h6#,h6#
50,garbage,garbage,garbage,garbage,garbage,garbage,garbage
51,garbage,garbage,garbage,garbage,garbage,garbage,garbage
52,garbage,garbage,garbage,garbage,garbage,garbage,garbage
53,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#
54,garbage,Bxf4#,garbage,Qc2#,Qc2#,Qf1#,Bxf4#
55,Bxf2#,Bxf2#,Bxf2#,Bxf2#,garbage,garbage,Bxf2#
56,Rd7#,Rd7#,Rd7#,Nf7#,Rd7#,Rd7#,Rd7#
57,garbage,Qxe2#,Qxe2#,Qxe2#,Qxe2#,garbage,Qxe2#
58,garbage,Rd7#,Rd7#,Rd7#,Rd7#,Rd7#,Rd7#
59,Qh8#,Qh8#,Qh8#,garbage,Qh8#,Qh8#,Qh8#
60,Qf2#,Bxe3#,Qf2#,Bxe3#,Bxe3#,Bxe3#,Qf2#
61,Qh4#,Qh4#,Qh4#,Qh4#,Qh4#,Qh4#,Qh4#
62,Rg2#,Rc1#,garbage,Rg2#,garbage,Rc1#,Rg2#
63,garbage,garbage,garbage,garbage,garbage,garbage,garbage
64,Rd1#,Rd1#,Rd1#,Rd1#,Rd1#,Rd1#,Rd1#
65,Be5#,Qg1#,Qg1#,Qg1#,Qg1#,Qg1#,Be5#
66,garbage,garbage,garbage,garbage,garbage,Ra3#,Ra3#
67,Qxg6#,Qxg6#,Qxg6#,Qxg6#,Qxg6#,Qxg6#,Qxg6#
68,garbage,garbage,Qxg7#,Qxg7#,Qxg7#,garbage,Qxg7#
69,garbage,garbage,garbage,garbage,garbage,garbage,garbage
70,garbage,garbage,garbage,garbage,garbage,garbage,garbage
71,Nf3#,Nf3#,Nf3#,Nf3#,Nf3#,Nf3#,Nf3#
72,Qc1#,Qh2#,Qg3#,Qc1#,Qh2#,Qc1#,Qc1#
73,Qf8#,Qf8#,Qf8#,Qf8#,Qf8#,Qf8#,Qf8#
74,Rh3#,garbage,Rh3#,Rh3#,Rh3#,Rh3#,Rh3#
75,garbage,garbage,garbage,garbage,garbage,garbage,garbage
76,garbage,garbage,garbage,garbage,garbage,garbage,garbage
77,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#
78,garbage,Qc3#,garbage,Qc3#,Qc3#,Qc3#,Qc3#
79,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#
80,Qd7#,garbage,Qd7#,Qd7#,Qd7#,Qd7#,Qd7#
81,Qxc8#,Qxc8#,Qxc8#,Qxc8#,Qxc8#,Qxc8#,Qxc8#
82,garbage,garbage,Qh7#,Qg4#,Qg4#,garbage,Qh7#
83,Qg1#,Qg1#,Qg1#,Qg1#,Qg1#,Qg1#,Qg1#
84,Ra1#,Ra1#,Ra1#,Ra1#,Ra1#,Ra1#,Ra1#
85,Qxc7#,Qxc7#,garbage,garbage,Qxc7#,Qxa6#,Qxc7#
86,Qxf3#,Qxf3#,Qxf3#,Qxf3#,Qxf3#,Qxf3#,Qxf3#
87,garbage,garbage,Qb8#,Nxb6#,garbage,garbage,Qb8#
88,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#
89,Qb3#,Qb3#,Qb3#,Qb3#,Qb3#,garbage,Qb3#
90,garbage,garbage,garbage,garbage,garbage,garbage,garbage
91,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#
92,garbage,garbage,Rf3#,Rf3#,garbage,Rf3#,Rf3#
93,garbage,garbage,garbage,garbage,Rb1#,garbage,Rb1#
94,garbage,garbage,garbage,garbage,garbage,garbage,garbage
95,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#
96,Qb3#,Qb3#,Qb3#,garbage,Qb3#,Bg7#,Qb3#
97,Qf8#,garbage,garbage,garbage,Qf8#,Qf8#,Qf8#
98,garbage,garbage,garbage,garbage,garbage,garbage,garbage
99,garbage,Qxh6#,Rxh6#,Qxh6#,Qxh6#,garbage,Qxh6#
100,Qg6#,Rxh5#,garbage,garbage,Rxh5#,Rxh5#,Qg6#
101,Rxf8#,Rxf8#,Rxf8#,Rxf8#,Rxf8#,Rxf8#,Rxf8#
102,Qxh8#,Qxh8#,Qxh8#,Qxh8#,Qxh8#,Qxh8#,Qxh8#
103,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#
104,Ra1#,Ra1#,Ra1#,Ra1#,Ra1#,Ne3#,Ra1#
105,Qb4#,Qb4#,Qb4#,Qb4#,Qb4#,Qb4#,Qb4#
106,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#
107,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#
108,garbage,Qe4#,Qe4#,Qe4#,Qe4#,garbage,Qe4#
109,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#
110,Qxc2#,garbage,Qxc2#,Qxc2#,Qxc2#,Qxc2#,Qxc2#
111,Qxg7#,Qxg7#,garbage,garbage,garbage,Qxg7#,Qxg7#
112,Rxe1#,Rxe1#,Rxe1#,Rxe1#,Rxe1#,Rxe1#,Rxe1#
113,garbage,Qxf2#,Qxf2#,garbage,garbage,Qxf2#,Qxf2#
114,garbage,garbage,Qxa8#,garbage,garbage,garbage,Qxa8#
115,Qxd6#,garbage,Qxd6#,garbage,Qxd6#,Qxd6#,Qxd6#
116,garbage,garbage,garbage,garbage,garbage,garbage,garbage
117,Qh7#,Qh7#,Qh7#,garbage,garbage,Qh7#,Qh7#
118,garbage,Rh1#,Rh1#,garbage,Rh1#,Rh1#,Rh1#
119,garbage,Qg7#,garbage,garbage,Qg7#,garbage,Qg7#
120,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#
121,Qxf7#,Qg7#,Qxf7#,garbage,Qxf7#,Qxf7#,Qxf7#
122,garbage,Rh7#,garbage,garbage,Rh7#,garbage,Rh7#
123,Qxg7#,garbage,garbage,garbage,garbage,garbage,Qxg7#
124,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#
125,Bf7#,Bf7#,Bf7#,Bf7#,Bf7#,Bf7#,Bf7#
126,Qa8#,Qa8#,Qa8#,Qa8#,Qa8#,Qa8#,Qa8#
127,garbage,garbage,garbage,Qxf1#,Qxf1#,garbage,Qxf1#
128,garbage,Qf3#,Qf3#,Qf3#,Qf3#,Qf3#,Qf3#
129,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#
130,Qxb7#,Qxb7#,Qxb7#,Qxb7#,Qxb7#,Qxb7#,Qxb7#
131,Ra4#,Ra4#,Ra4#,Ra4#,Ra4#,Ra4#,Ra4#
132,Qb2#,Qb2#,Qb2#,Qb2#,Qb2#,Qb2#,Qb2#
133,Qe8#,Qe8#,Qe8#,Qe8#,Qe8#,Qe8#,Qe8#
134,garbage,Qa1#,Qa1#,garbage,Qa1#,garbage,Qa1#
135,Qc8#,Qc8#,Qc8#,Qc8#,garbage,garbage,Qc8#
136,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#
137,Qd7#,Qd3#,garbage,garbage,Qee4#,garbage,Qd7#
138,Rh6#,garbage,garbage,Rh6#,Rh6#,Rh6#,Rh6#
139,Rh3#,Rh3#,Rh3#,Rh3#,Rh3#,Rh3#,Rh3#
140,garbage,Rf2#,Rb1#,Rf2#,garbage,Rf2#,Rf2#
141,garbage,Bb2#,Bb2#,garbage,Bb2#,garbage,Bb2#
142,Qd8#,Qd8#,Qd8#,Qd8#,Qd8#,Qd8#,Qd8#
143,Qxa2#,Qxa2#,Qxa2#,garbage,Qxa2#,garbage,Qxa2#
144,Ra1#,Ra1#,Ra1#,Ra1#,Ra1#,Ra1#,Ra1#
145,Rg7#,Rg7#,Rg7#,Rg7#,Rg7#,Rg7#,Rg7#
146,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#
147,Rxh5#,Rxh5#,Rxh5#,Rxh5#,Rxh5#,Rxh5#,Rxh5#
148,Qxg7#,Qxg7#,garbage,garbage,Qxg7#,Qxg7#,Qxg7#
149,Qh1#,Qh1#,Qh1#,Qh1#,Qh1#,Qh1#,Qh1#
150,garbage,Qxe7#,Qxe7#,Qxe7#,Qxe7#,Qxe7#,Qxe7#
151,garbage,garbage,garbage,garbage,garbage,garbage,garbage
152,Qxf8#,Qxf8#,Qxf8#,Qxf8#,Qxf8#,Qxf8#,Qxf8#
153,garbage,garbage,garbage,garbage,garbage,garbage,garbage
154,Rh3#,Rh3#,Rh3#,Rh3#,Rh3#,Rh3#,Rh3#
155,Rh8#,garbage,garbage,Rh8#,garbage,Rh8#,Rh8#
156,Qxe2#,Qxe2#,Qxe2#,Qd1#,Qd1#,Qxe2#,Qxe2#
157,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#
158,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#
159,garbage,garbage,garbage,garbage,garbage,garbage,garbage
160,Qd2#,Qxf2#,Qd3#,garbage,Qd2#,Qd2#,Qd2#
161,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#
162,Nh6#,garbage,Nh6#,garbage,garbage,Nh6#,Nh6#
163,Rg8#,Rg8#,Rg8#,Rg8#,Rg8#,Rg8#,Rg8#
164,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#
165,Qxh7#,garbage,garbage,Qxh7#,Qxh7#,garbage,Qxh7#
166,garbage,Qg6#,Qg6#,Qg6#,Qg6#,garbage,Qg6#
167,garbage,garbage,garbage,garbage,garbage,garbage,garbage
168,garbage,garbage,Qf8#,Qh5#,Qh5#,Qf8#,Qf8#
169,Qxa8#,Qxa8#,Qxa8#,Qxa8#,Qxa8#,Qxa8#,Qxa8#
170,garbage,Qg2#,Qg2#,garbage,Qg2#,Qg2#,Qg2#
171,garbage,Qf8#,garbage,Qf8#,Rf8#,Rf8#,Qf8#
172,Be5#,Be5#,Be5#,Be5#,garbage,Be5#,Be5#
173,Qf4#,Qf3#,Qf4#,Qf4#,Qf3#,Qf3#,Qf4#
174,garbage,garbage,garbage,garbage,garbage,garbage,garbage
175,Qh1#,Qh1#,Qh1#,Qh1#,Qh1#,Qh1#,Qh1#
176,Rb1#,garbage,garbage,garbage,Ra8#,garbage,Rb1#
177,garbage,garbage,Qh1#,Qh1#,garbage,garbage,Qh1#
178,Re4#,garbage,garbage,Rg4#,garbage,garbage,Re4#
179,Rh7#,garbage,garbage,Ne7#,garbage,garbage,Rh7#
180,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#
181,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#
182,Rh3#,Rh3#,Rh3#,Rh3#,Rh3#,Rh3#,Rh3#
183,Qxf1#,Qxf1#,Qxf1#,Qxf1#,Qxf1#,Qxf1#,Qxf1#
184,Qxb7#,Qxb7#,Qxb7#,Qxb7#,Qxb7#,Qxb7#,Qxb7#
185,garbage,garbage,garbage,garbage,garbage,garbage,garbage
186,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#
187,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#
188,Qxg6#,Qf7#,Qxg6#,Qxg6#,Qf7#,Qf7#,Qxg6#
189,garbage,garbage,Qxc7#,Qxc7#,garbage,Qxc7#,Qxc7#
190,Qxf8#,Qxf8#,Qxf8#,Qxf8#,Qxf8#,Qxf8#,Qxf8#
191,Qh1#,Qh1#,Qh1#,Qh1#,Qh1#,Qh1#,Qh1#
192,garbage,garbage,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#
193,garbage,Re1#,garbage,Qc2#,garbage,garbage,Re1#
194,Rxb3#,Rxb3#,Rxb3#,Rxb3#,Rxb3#,Rxb3#,Rxb3#
195,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#
196,Qxd7#,garbage,Qxd7#,Qxd7#,garbage,garbage,Qxd7#
197,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#
198,Rg1#,Rg1#,Rg1#,Rg1#,Rg1#,Rg1#,Rg1#
199,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#
200,Qd6#,garbage,garbage,Qd6#,garbage,Qd6#,Qd6#
201,garbage,garbage,garbage,garbage,garbage,garbage,garbage
202,garbage,garbage,garbage,garbage,garbage,garbage,garbage
203,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#
204,Rc1#,garbage,Re3#,garbage,Re3#,garbage,Rc1#
205,garbage,Qxd1#,garbage,Qxd1#,garbage,Qxd1#,Qxd1#
206,garbage,garbage,garbage,garbage,garbage,garbage,garbage
207,Rh1#,Rh1#,Rh1#,Rh1#,Ra1#,Rh1#,Rh1#
208,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#
209,Qxh6#,Qxh6#,Qxh6#,Qxh6#,Qxh6#,Qxh6#,Qxh6#
210,Rb4#,Rb4#,Rb4#,Rb4#,Rb4#,Rb4#,Rb4#
211,Qxc7#,Qxc7#,Qxc7#,Qxc7#,Qxc7#,Qxc7#,Qxc7#
212,Qh2#,garbage,Qh2#,Qh2#,garbage,Qh2#,Qh2#
213,garbage,garbage,garbage,garbage,garbage,garbage,garbage
214,garbage,Qh3#,Qh3#,garbage,Qh3#,Rh2#,Qh3#
215,Qe8#,Qe8#,Qe8#,Qe8#,Qe8#,Qe8#,Qe8#
216,Rg2#,Rg2#,Rg2#,Rg2#,Rg2#,Rg2#,Rg2#
217,garbage,garbage,Rf8#,Rf8#,garbage,garbage,Rf8#
218,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#
219,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#
220,Rh3#,Rh3#,Rh3#,Rh3#,Rh3#,Rh3#,Rh3#
221,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#
222,Qg8#,Qg8#,garbage,garbage,Qg8#,garbage,Qg8#
223,garbage,garbage,Qxe7#,Qxe7#,garbage,garbage,Qxe7#
224,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#
225,Rf1#,Rf1#,Rf1#,Rf1#,Rf1#,Rf1#,Rf1#
226,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#
227,Qxc7#,Qxc7#,Qxc7#,Qxc7#,Qxc7#,Qxc7#,Qxc7#
228,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#
229,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#
230,Qe2#,Qe2#,Qe2#,Qe2#,Qe2#,Qe2#,Qe2#
231,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#
232,Qxc6#,garbage,Qxc6#,garbage,Qxc6#,garbage,Qxc6#
233,Qh5#,Qh5#,Qh5#,Qh5#,Qh5#,Qh5#,Qh5#
234,Re1#,Re1#,Re1#,Re1#,Re1#,Re1#,Re1#
235,Qh2#,Qh2#,Qh2#,Qh2#,Qh2#,Qh2#,Qh2#
236,Qb7#,Qb7#,Qb7#,Qb7#,Qb7#,Qb7#,Qb7#
237,Qb1#,Qb1#,Qb1#,Qb1#,Qb1#,Qb1#,Qb1#
238,Qh4#,Qh4#,Qh4#,Qh4#,Qh4#,Qh4#,Qh4#
239,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#
240,Qh3#,Qh3#,Qh3#,Qh3#,Qh3#,Qh3#,Qh3#
241,Rh4#,Rh4#,Rh4#,Rh4#,Rh4#,Rh4#,Rh4#
242,garbage,garbage,garbage,garbage,garbage,garbage,garbage
243,Ra8#,Ra8#,Ra8#,Ra8#,Rc7#,Ra8#,Ra8#
244,Rxe8#,Rxe8#,Rxe8#,Rxe8#,Rxe8#,Rxe8#,Rxe8#
245,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#
246,Bf7#,garbage,Bf7#,Bf7#,garbage,Bf7#,Bf7#
247,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#
248,Rf8#,Rf8#,Rf8#,Rf8#,Rf8#,Rf8#,Rf8#
249,Ng3#,Qg1#,Ng3#,Ng3#,Qg1#,Ng3#,Ng3#
250,Rg2#,Rg2#,Rg2#,Rg2#,Rg2#,Rg2#,Rg2#
251,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#
252,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#
253,Rd8#,Rd8#,Rd8#,Rd8#,Rd8#,Rd8#,Rd8#
254,Qxe1#,Qxe1#,Qxe1#,Qxe1#,Qxe1#,Qxe1#,Qxe1#
255,Rh3#,Rh3#,Rh3#,Rh3#,Rh3#,Rh3#,Rh3#
256,Qff8#,Qff8#,Qh8#,Qc8#,Qc8#,Qff8#,Qff8#
257,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#
258,Rf8#,Rf8#,Rf8#,Rf8#,Rf8#,Rf8#,Rf8#
259,Rf6#,Rf6#,Be4#,Rf6#,Rf6#,Rf6#,Rf6#
260,garbage,garbage,garbage,garbage,garbage,garbage,garbage
261,Ra7#,Ra7#,Ra7#,Ra7#,Ra7#,Ra7#,Ra7#
262,Qe1#,Qe2#,Qe2#,Qe2#,Qe1#,Qe2#,Qe1#
263,Qg5#,Qg5#,Qg5#,Qg5#,Qg5#,Qg5#,Qg5#
264,Qg5#,Qg5#,Qg5#,Qg5#,Qg5#,Qg5#,Qg5#
265,garbage,Rh5#,garbage,Rh5#,Rh5#,garbage,Rh5#
266,Ng3#,Qg2#,Ng3#,Ng3#,Ng3#,Ng3#,Ng3#
267,garbage,Qxe3#,garbage,garbage,garbage,garbage,Qxe3#
268,Nc7#,Nc7#,Nc7#,Nc7#,Nc7#,Nc7#,Nc7#
269,Re8#,Qf7#,Re8#,Re8#,Qf6#,Re8#,Re8#
270,Qa8#,Qa8#,Qa8#,Qa8#,Qa8#,Qa8#,Qa8#
271,Qxe1#,Qxe1#,Qxe1#,Qxe1#,Qxe1#,Qxe1#,Qxe1#
272,garbage,garbage,garbage,garbage,garbage,garbage,garbage
273,Rxe8#,Rxe8#,Rxe8#,Rxe8#,Rxe8#,Rxe8#,Rxe8#
274,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#
275,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#
276,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#
277,garbage,garbage,garbage,garbage,garbage,garbage,garbage
278,garbage,garbage,garbage,garbage,garbage,garbage,garbage
279,garbage,garbage,garbage,garbage,garbage,garbage,garbage
280,Qca7#,Qca7#,Qca7#,Qca7#,Qca7#,Qca7#,Qca7#
281,Qf4#,Qf4#,garbage,garbage,garbage,Qf4#,Qf4#
282,Rf8#,Rf8#,garbage,garbage,Rf8#,garbage,Rf8#
283,Qd7#,Qd7#,Qd7#,Qd7#,Qd7#,Qd7#,Qd7#
284,garbage,garbage,garbage,garbage,garbage,garbage,garbage
285,Qf4#,garbage,garbage,Qe4#,garbage,garbage,Qf4#
286,Qa7#,garbage,Ra7#,Ra7#,garbage,garbage,Qa7#
287,garbage,garbage,garbage,garbage,garbage,garbage,garbage
288,Qe5#,Qe5#,garbage,Qe5#,Qe5#,Qe5#,Qe5#
289,Rh8#,Rh8#,Rh8#,garbage,Rh8#,garbage,Rh8#
290,garbage,garbage,garbage,garbage,garbage,garbage,garbage
291,garbage,garbage,garbage,garbage,garbage,garbage,garbage
292,Qxg7#,Qxg7#,garbage,Qxg7#,Qxg7#,Qxg7#,Qxg7#
293,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#
294,Qa2#,Qa2#,Qa2#,Qa2#,Qa2#,Qa2#,Qa2#
295,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#
296,garbage,garbage,Ra1#,garbage,Ra1#,garbage,Ra1#
297,Qxg8#,Qxg8#,Qxg8#,Qxg8#,Qxg8#,Qxg8#,Qxg8#
298,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#
299,Qe7#,Qe7#,Qe7#,Qe7#,Qe7#,garbage,Qe7#
300,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#
301,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#
302,Qa8#,Qa8#,Qa8#,Qa8#,Qa8#,Qa8#,Qa8#
303,Qh7#,Qg8#,Qh7#,Qg8#,Qg8#,Qg8#,Qh7#
304,Rg1#,Rg1#,Rg1#,Rg1#,Rg1#,Rg1#,Rg1#
305,Qxe1#,Qxe1#,Qxe1#,Qxe1#,Qxe1#,Qxe1#,Qxe1#
306,Rh5#,Rh5#,Rh5#,Rh5#,Rh5#,Rh5#,Rh5#
307,Ra8#,Ra8#,Ra8#,Ra8#,Ra8#,Ra8#,Ra8#
308,Qg3#,Qg3#,Qg3#,Qg3#,Qg3#,Qg3#,Qg3#
309,Rhf7#,Rhf7#,Rhf7#,Rhf7#,Rhf7#,Rhf7#,Rhf7#
310,Qb2#,Qb2#,Qb2#,Qb2#,Qb2#,Qb2#,Qb2#
311,Qg1#,Qg1#,Qg1#,Qg1#,Qg1#,Qg1#,Qg1#
312,Qh5#,Qh5#,Qh5#,garbage,garbage,Qh5#,Qh5#
313,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#
314,garbage,garbage,garbage,garbage,garbage,garbage,garbage
315,Qd6#,Qd6#,Qd6#,Qd6#,Qxd7#,Qd6#,Qd6#
316,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#
317,Qa5#,Qa5#,Qa5#,Qa5#,Qa5#,Qa5#,Qa5#
318,Qf5#,Qf5#,Qf5#,Qf5#,Qf5#,Qf5#,Qf5#
319,Rc1#,garbage,Rc1#,garbage,Rc1#,Rc1#,Rc1#
320,Rg1#,Rg1#,Rg1#,Rg1#,Rg1#,Rg1#,Rg1#
321,garbage,Re4#,Re4#,Re4#,garbage,Re4#,Re4#
322,Rd8#,Rd8#,Qxb8#,Rd8#,Qxb8#,Qxb8#,Rd8#
323,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#
324,garbage,garbage,garbage,garbage,garbage,garbage,garbage
325,garbage,Qc1#,garbage,garbage,garbage,Qc1#,Qc1#
326,garbage,garbage,garbage,Qxg7#,garbage,garbage,Qxg7#
327,garbage,garbage,garbage,garbage,garbage,garbage,garbage
328,Ra8#,Ra8#,Ra8#,Ra8#,Ra8#,Ra8#,Ra8#
329,Ra3#,Ra3#,Ra3#,Ra3#,Ra3#,garbage,Ra3#
330,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#
